godel,entity_type,entity_path,primes,zk_url
2,file,"generated/emoji_patterns.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=1&file=generated/godel_lattice.parquet&freq=493.88&proof=3e
2,file,"generated/mes_verified.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=2&file=generated/godel_lattice.parquet&freq=440.00&proof=5d
2,file,"generated/prolog_fast.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=3&file=generated/godel_lattice.parquet&freq=523.25&proof=7c
2,file,"generated/prolog_interp.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=4&file=generated/godel_lattice.parquet&freq=440.00&proof=9b
2,file,"generated/prolog_to_rust.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=5&file=generated/godel_lattice.parquet&freq=587.33&proof=ba
2,file,"generated/regenerated_prime.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=6&file=generated/godel_lattice.parquet&freq=440.00&proof=d9
2,file,"generated/rust_primes.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=7&file=generated/godel_lattice.parquet&freq=440.00&proof=f8
2,file,"generated/rust_verified.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=8&file=generated/godel_lattice.parquet&freq=440.00&proof=117
2,tool,"audio_analyzer.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=9&file=generated/godel_lattice.parquet&freq=659.25&proof=136
2,tool,"elf_complexity_23.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=10&file=generated/godel_lattice.parquet&freq=440.00&proof=155
2,tool,"extract_noweb.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=11&file=generated/godel_lattice.parquet&freq=698.46&proof=174
2,tool,"generate_clean_datasets.rs","[2]",https://github.com/Escaped-RDFa/namespace?row=12&file=generated/godel_lattice.parquet&freq=440.00&proof=193
3,file,"generated/MINING_INSTRUCTIONS.md","[3]",https://github.com/Escaped-RDFa/namespace?row=13&file=generated/godel_lattice.parquet&freq=440.00&proof=1b2
3,file,"generated/c_scheme_unification.v","[3]",https://github.com/Escaped-RDFa/namespace?row=14&file=generated/godel_lattice.parquet&freq=440.00&proof=1d1
3,file,"generated/compiler_symphony.ly","[3]",https://github.com/Escaped-RDFa/namespace?row=15&file=generated/godel_lattice.parquet&freq=783.99&proof=1f0
3,file,"generated/convergence.v","[3]",https://github.com/Escaped-RDFa/namespace?row=16&file=generated/godel_lattice.parquet&freq=440.00&proof=20f
3,file,"generated/coq_extracted.cmi","[3]",https://github.com/Escaped-RDFa/namespace?row=17&file=generated/godel_lattice.parquet&freq=880.00&proof=22e
3,file,"generated/coq_extracted.cmx","[3]",https://github.com/Escaped-RDFa/namespace?row=18&file=generated/godel_lattice.parquet&freq=440.00&proof=24d
3,file,"generated/coq_extracted.ml","[3]",https://github.com/Escaped-RDFa/namespace?row=19&file=generated/godel_lattice.parquet&freq=440.00&proof=26c
3,file,"generated/coq_extracted.o","[3]",https://github.com/Escaped-RDFa/namespace?row=20&file=generated/godel_lattice.parquet&freq=440.00&proof=28b
3,file,"generated/factorial.c","[3]",https://github.com/Escaped-RDFa/namespace?row=21&file=generated/godel_lattice.parquet&freq=987.77&proof=2aa
3,file,"generated/factorial_gcc","[3]",https://github.com/Escaped-RDFa/namespace?row=22&file=generated/godel_lattice.parquet&freq=440.00&proof=2c9
3,file,"generated/factorial_gcc.objdump","[3]",https://github.com/Escaped-RDFa/namespace?row=23&file=generated/godel_lattice.parquet&freq=440.00&proof=2e8
3,file,"generated/factorial_gcc.s","[3]",https://github.com/Escaped-RDFa/namespace?row=24&file=generated/godel_lattice.parquet&freq=440.00&proof=307
