entity,cycles,instructions,cache_misses,time_ns,original_data
1,600,900,0,300,"17,file,generated/71_memes.json,"[17]",7,343"
2,700,1050,1,350,"17,file,generated/llm_activations.json,"[17]",7,343"
3,800,1200,1,400,"31,tool,monitor_llm_activation.sh,"[31]",29,609"
4,900,1350,1,450,"31,tool,run_llm_activation_bg.sh,"[31]",29,609"
5,1000,1500,1,500,"71,file,generated/convergence.pl,"[71]",29,1369"
6,1100,1650,1,550,"71,file,generated/emoji_patterns.pl,"[71]",29,1369"
7,1200,1800,1,600,"71,file,generated/extracted_verify.pl,"[71]",29,1369"
8,1300,1950,1,650,"71,file,generated/regenerated_prime.pl,"[71]",29,1369"
9,1400,2100,2,700,"71,file,generated/zkprologml_mes.pl,"[71]",29,1369"
10,1500,2250,2,750,"71,tool,24h_resource_plan.pl,"[71]",29,1369"
11,1600,2400,2,800,"71,tool,71_meme_mining.pl,"[71]",29,1369"
12,1700,2550,2,850,"71,tool,all_repos.pl,"[71]",29,1369"
13,1800,2700,2,900,"71,tool,analyze_all.pl,"[71]",29,1369"
14,1900,2850,2,950,"71,tool,analyze_all_repos.pl,"[71]",29,1369"
15,2000,3000,3,1000,"71,tool,analyze_everything.pl,"[71]",29,1369"
16,2100,3150,3,1050,"71,tool,automorphic_orbits.pl,"[71]",29,1369"
17,2200,3300,3,1100,"71,tool,bisimulation.pl,"[71]",29,1369"
18,2300,3450,3,1150,"71,tool,bootstrap_proof.pl,"[71]",29,1369"
19,2400,3600,3,1200,"71,tool,bott_k_theory.pl,"[71]",29,1369"
20,2500,3750,3,1250,"71,tool,c_complexity_facts.pl,"[71]",29,1369"
21,2600,3900,3,1300,"71,tool,c_complexity_lattice.pl,"[71]",29,1369"
22,2700,4050,4,1350,"71,tool,c_syntax_harmonics.pl,"[71]",29,1369"
23,2800,4200,4,1400,"71,tool,closed_loop_primes.pl,"[71]",29,1369"
24,2900,4350,4,1450,"71,tool,compcert_monster.pl,"[71]",29,1369"
25,3000,4500,4,1500,"71,tool,compile_to_music.pl,"[71]",29,1369"
26,3100,4650,4,1550,"71,tool,compiler_symphony.pl,"[71]",29,1369"
27,3200,4800,4,1600,"71,tool,complexity_growth_proof.pl,"[71]",29,1369"
28,3300,4950,4,1650,"71,tool,complexity_lattice_key.pl,"[71]",29,1369"
29,3400,5100,5,1700,"71,tool,comprehend_lean_core.pl,"[71]",29,1369"
30,3500,5250,5,1750,"71,tool,consume_parquet_git_prolog.pl,"[71]",29,1369"
31,3600,5400,5,1800,"71,tool,consume_prolog_variants.pl,"[71]",29,1369"
32,3700,5550,5,1850,"71,tool,convert_emoji_patterns.pl,"[71]",29,1369"
33,3800,5700,5,1900,"71,tool,coq_of_rust_integration.pl,"[71]",29,1369"
34,3900,5850,5,1950,"71,tool,coq_proof_harmonics.pl,"[71]",29,1369"
35,4000,6000,6,2000,"71,tool,dataset_complexity_binding.pl,"[71]",29,1369"
36,4100,6150,6,2050,"71,tool,eco_unification.pl,"[71]",29,1369"
37,4200,6300,6,2100,"71,tool,escher_loop.pl,"[71]",29,1369"
38,4300,6450,6,2150,"71,tool,eternal_fungus_spore.pl,"[71]",29,1369"
39,4400,6600,6,2200,"71,tool,eternal_proof_loop.pl,"[71]",29,1369"
40,4500,6750,6,2250,"71,tool,example_queries.pl,"[71]",29,1369"
41,4600,6900,6,2300,"71,tool,expert_system_models.pl,"[71]",29,1369"
42,4700,7050,7,2350,"71,tool,extract_file.pl,"[71]",29,1369"
43,4800,7200,7,2400,"71,tool,extract_keywords_find_similar.pl,"[71]",29,1369"
44,4900,7350,7,2450,"71,tool,extract_noweb.pl,"[71]",29,1369"
45,5000,7500,7,2500,"71,tool,fail2llm.pl,"[71]",29,1369"
46,5100,7650,7,2550,"71,tool,fifth_generation.pl,"[71]",29,1369"
47,5200,7800,7,2600,"71,tool,find2pipelight.pl,"[71]",29,1369"
48,5300,7950,7,2650,"71,tool,find_ocaml_kernel.pl,"[71]",29,1369"
49,5400,8100,8,2700,"71,tool,find_producer.pl,"[71]",29,1369"
50,5500,8250,8,2750,"71,tool,find_similar_plan_merge.pl,"[71]",29,1369"
51,5600,8400,8,2800,"71,tool,flag_lattice.pl,"[71]",29,1369"
